machine_operation_time,ejector_forward_time,ejector_backward_time,injection_time,holding_pressure_time,metering_time,max_injection_pressure,holding_pressure_switch,label,device_name,save_time
30.72,0.549402,0.771263,1.50035,2.00092,9.6776,658.402,650.06,1,BB1,2022-11-02 12:18:59
28.9999,0.551335,0.773513,3.00033,0.0,10.0056,671.593,587.788,1,BB1,2022-08-25 18:37:50
30.72,0.549445,0.772559,1.50038,2.00096,9.07674,666.549,661.894,1,BB1,2022-11-10 15:05:10
30.7201,0.548524,0.77145,1.50039,2.00089,9.44286,646.568,632.213,1,BB1,2022-11-02 20:44:29
30.7438,0.549418,0.771391,1.50052,2.00088,9.08278,607.964,606.218,1,BB1,2022-10-19 18:42:31
28.4787,0.550398,0.773462,3.00044,0.0,10.7416,667.693,588.932,1,BB1,2022-08-22 17:24:47
29.3189,0.550456,0.772389,3.00043,0.0,10.8297,671.787,588.564,1,BB1,2022-08-30 09:52:50
30.7042,0.549494,0.772389,1.50036,2.00003,9.06061,620.185,610.873,1,BB1,2022-10-22 19:14:44
30.738,0.549366,0.772411,1.50045,2.00089,9.69864,610.873,606.994,1,BB1,2022-10-24 19:16:32
30.7404,0.548459,0.771561,1.50041,2.00086,8.99962,668.683,662.088,1,BB1,2022-11-11 08:48:40
30.7012,0.549398,0.772484,1.50042,2.001,9.50882,608.933,603.696,1,BB1,2022-10-25 01:09:26
30.7192,0.54833,0.771251,1.50038,2.00088,9.3857,672.563,663.834,1,BB1,2022-11-21 21:30:40
30.7201,0.549207,0.772342,1.5005,2.00082,8.91572,614.171,607.77,1,BB1,2022-10-27 04:56:25
30.7251,0.549444,0.77141,1.50043,2.00088,9.10567,630.855,620.185,1,BB1,2022-10-26 10:02:52
30.739,0.548462,0.771422,1.50044,2.00094,9.9916,609.903,606.024,1,BB1,2022-11-01 09:16:30
29.3444,0.551568,0.772301,3.00028,0.0,10.3166,672.563,588.37,1,BB1,2022-08-27 21:49:53
30.7002,0.548483,0.771327,1.50043,2.00001,8.83164,668.877,666.743,1,BB1,2022-11-16 19:02:02
30.719,0.548504,0.771399,1.50038,2.00084,9.0905,610.873,606.412,1,BB1,2022-10-19 15:37:50
29.76,0.550491,0.773489,3.00041,0.0,10.8585,671.981,588.176,1,BB1,2022-08-29 18:14:09
30.7041,0.548506,0.771266,1.50046,2.00089,8.93278,609.903,604.472,1,BB1,2022-10-19 08:41:25
30.7387,0.549375,0.771325,1.50036,2.00081,9.55262,617.663,610.68,1,BB1,2022-10-25 16:45:20
30.7462,0.550393,0.772397,1.50035,2.0008,9.85973,670.817,664.416,1,BB1,2022-10-14 00:15:56
30.6999,0.549355,0.771387,1.50039,2.00083,9.01683,618.439,610.485,1,BB1,2022-10-19 03:06:21
28.26,0.551493,0.773371,3.00043,0.0,8.69881,654.695,588.544,1,BB1,2022-08-24 18:31:53
29.1386,0.550431,0.773562,3.00041,0.0,10.4868,672.175,588.176,1,BB1,2022-08-25 15:24:51
30.72,0.549624,0.772267,1.50045,2.00002,8.92674,669.653,664.997,1,BB1,2022-11-22 16:42:51
30.6999,0.549359,0.771017,1.50041,2.00095,9.32967,658.79,653.94,1,BB1,2022-11-02 21:57:13
30.7194,0.549383,0.772324,1.5004,2.00001,9.04764,669.265,666.743,1,BB1,2022-11-22 16:41:50
30.7005,0.549255,0.77239,1.50047,2.00097,9.24161,597.876,596.712,1,BB1,2022-10-20 12:38:03
30.7199,0.549413,0.771404,1.50035,2.00088,9.33063,665.385,663.252,1,BB1,2022-11-10 22:52:05
30.7199,0.549359,0.771528,1.50042,2.0009,9.10864,615.723,607.77,1,BB1,2022-10-27 02:52:29
30.7199,0.549518,0.771392,1.50043,2.0009,9.23367,643.464,628.721,1,BB1,2022-11-03 16:33:21
30.72,0.54929,0.771393,1.5004,2.00086,9.47871,597.876,597.488,1,BB1,2022-10-22 05:46:26
30.7421,0.548429,0.771441,1.5005,2.00081,9.29658,649.672,636.868,1,BB1,2022-11-03 12:59:34
30.74,0.549542,0.772386,1.50044,2.00095,9.68653,602.92,600.786,1,BB1,2022-10-29 09:38:18
30.699,0.549425,0.771274,1.50052,2.00091,9.04555,670.041,663.64,1,BB1,2022-11-24 14:34:46
28.2583,0.550485,0.772407,3.00038,0.0,8.48569,688.256,587.962,1,BB1,2022-08-22 09:49:56
30.7388,0.548326,0.770299,1.50026,2.00091,8.72061,670.623,663.445,1,BB1,2022-11-16 08:54:49
28.7601,0.55051,0.77141,3.00043,0.0,10.0766,647.344,588.564,1,BB1,2022-09-27 14:11:32
30.7199,0.549338,0.771324,1.50046,2.00099,9.00557,625.229,613.977,1,BB1,2022-10-25 20:40:32
30.7004,0.54932,0.77132,1.50048,2.00093,9.94858,614.171,607.382,1,BB1,2022-10-19 10:07:28
28.6201,0.550348,0.772423,3.00045,0.0,9.79076,652.0,588.176,1,BB1,2022-09-27 21:52:32
30.7421,0.547295,0.770291,1.50036,2.00088,9.2927,653.358,638.032,1,BB1,2022-11-02 08:30:13
28.9987,0.551559,0.772318,3.0005,0.0,10.7496,671.787,588.176,1,BB1,2022-08-29 21:34:39
30.7414,0.548358,0.770448,1.5005,2.00087,10.1688,654.91,636.674,1,BB1,2022-10-17 08:24:34
29.1223,0.551574,0.773617,3.00056,0.0,10.6488,671.011,587.982,1,BB1,2022-08-26 22:05:29
30.7062,0.549347,0.770461,1.50046,2.00089,9.01559,600.786,598.846,1,BB1,2022-10-20 09:48:33
30.72,0.549367,0.771491,1.50042,2.0,9.4789,670.429,669.847,1,BB1,2022-11-08 20:02:56
30.7181,0.548442,0.770385,1.50049,2.00091,8.89464,671.205,663.058,1,BB1,2022-11-17 09:22:03
31.8199,0.5494,0.772018,1.50051,2.00081,12.7377,671.981,654.522,1,BB1,2022-10-15 06:13:17
30.7184,0.548515,0.771446,1.50045,2.00091,9.48956,600.98,599.428,1,BB1,2022-10-29 07:32:49
30.7432,0.549427,0.772275,1.50041,2.00084,10.4536,667.713,666.355,1,BB1,2022-10-13 15:56:25
30.7189,0.548431,0.771387,1.50053,2.00084,9.09072,641.912,626.781,1,BB1,2022-10-18 11:27:52
30.6988,0.548434,0.771404,1.5004,2.0009,9.02662,667.131,664.028,1,BB1,2022-11-17 11:26:21
29.0021,0.551581,0.773631,3.00045,0.0,9.93656,672.175,587.982,1,BB1,2022-08-26 18:29:17
28.6999,0.551531,0.772356,3.0005,0.0,9.88076,652.388,587.982,1,BB1,2022-09-27 20:58:05
